,region,region_coord
268,Bordeaux Supérieur,"(44.7913563, -0.6576853)"
269,Haut-Médoc,"(49.3549052, 6.1575875)"
270,Bordeaux Rosé,"(44.7338102, -0.426969)"
271,Pennsylvania,"(40.9699889, -77.7278831)"
272,Sierra Foothills,"(33.58458185, -111.80897676692237)"
273,Les Baux de Provence,"(43.7436371, 4.795125)"
274,Shenandoah Valley (CA),"(39.6725241, -75.5911629)"
275,Southern Oregon,"(42.186606850000004, -122.69679025359596)"
276,Swartland,"(-33.29356, 18.599382501779992)"
277,Old Mission Peninsula,"(44.9622232, -85.485356)"
278,Dão,"(25.5294886, 111.5952587)"
279,Bandol,"(43.1357717, 5.7523647)"
280,Coombsville,"(38.295223, -122.2489536)"
281,Coteaux d'Aix-en-Provence,"(None, None)"
282,Wachau,"(48.3275563, 15.41162578949626)"
283,Wagram-Donauland,"(48.4022568, 15.915696351635837)"
284,Madiran,"(43.5502022, -0.0580853)"
285,Montefalco Rosso,"(None, None)"
286,Rio Claro,"(-22.4100108, -47.5603933)"
287,Menetou-Salon,"(47.2315397, 2.4886282)"
288,Villány,"(45.8697644, 18.4555208)"
289,Umbria,"(42.965916, 12.490236)"
290,Calchaquí Valley,"(-25.9517252, -65.8966549)"
291,Cachapoal Valley,"(-36.461386, -71.7291215)"
292,Kamptal,"(48.38016145, 16.52517602141657)"
293,Faro,"(62.0448724, -7.0322972)"
294,Chénas,"(46.2119329, 4.7190138)"
295,Jurançon,"(43.2871825, -0.3896425)"
296,Bolgheri Sassicaia,"(None, None)"
297,Pessac-Léognan,"(None, None)"
298,Saint-Julien,"(47.4019947, 5.1364639)"
299,Pauillac,"(45.1995626, -0.7484994)"
300,Oakville,"(43.447436, -79.666672)"
301,Lalande de Pomerol,"(44.9560756, -0.2104434)"
302,Delia Nivolelli,"(None, None)"
303,Cadillac Côtes de Bordeaux,"(None, None)"
304,Gattinara,"(45.6142424, 8.3711382)"
305,Applegate Valley,"(39.0007303, -120.9924431)"
306,Châteauneuf-du-Pape,"(44.0553336, 4.8312888)"
307,Hermitage,"(59.9412076, 30.315486515853937)"
308,Traisental,"(47.966651, 15.5593148)"
309,Maremma,"(44.2360427, 8.4298691)"
310,Umpqua Valley,"(43.3646201, -123.4707511)"
311,Galilee,"(40.3364992, -73.9743038)"
312,Bairrada,"(39.8672777, -8.4619293)"
313,Negev Hills,"(30.9247487, 34.7196507)"
314,Margaret River,"(-33.9531776, 115.0769369)"
315,San Benito County,"(36.6248089, -121.1177379)"
316,Ribatejano,"(None, None)"
317,Catalunya,"(41.8523094, 1.5745043)"
318,Ribeiro,"(42.31990645, -8.152266856014716)"
319,Sauternes,"(44.5327805, -0.341386)"
320,San Luis Obispo County,"(35.3540209, -120.3757163)"
321,Bolgheri,"(43.2340065, 10.6179334)"
322,Columbia Gorge (WA),"(45.657502, -121.07445123889116)"
323,Blaye Côtes de Bordeaux,"(None, None)"
324,Alicante,"(38.353738, -0.4901846)"
325,Leelanau Peninsula,"(None, None)"
326,Calatayud,"(41.3527628, -1.6422977)"
327,Calaveras County,"(38.2558181, -120.4981492)"
328,Coteaux du Languedoc,"(43.5748743, 3.8374193)"
329,Beiras,"(40.81075705, -7.492524331590008)"
